id,customer_id,item_name,price,quantity,temperature_requirement,order_date
ORD051,CUST106,Gefilte Fish,16.99,2,cold,2024-11-03 16:00:00
ORD052,CUST108,Jerusalem Mixed Grill,29.99,1,hot,2024-11-03 16:15:30
ORD053,CUST110,Roasted Eggplant Dip,11.99,2,cold,2024-11-03 16:45:00
ORD054,CUST112,Lamb Chops,42.99,2,hot,2024-11-03 17:00:15
ORD055,CUST114,Citrus Herb Salad,13.99,1,cold,2024-11-03 17:30:45
ORD056,CUST013,Chicken Liver Pâté,18.99,1,cold,2024-11-03 18:00:00
ORD057,CUST116,Beef Short Ribs,38.99,2,hot,2024-11-03 18:15:30
ORD058,CUST118,Sweet Potato Salad,10.99,2,cold,2024-11-03 18:45:00
ORD059,CUST120,Turkish Coffee Cake,9.99,3,cold,2024-11-03 19:00:15
ORD060,CUST122,Grilled Sea Bass,34.99,1,hot,2024-11-04 12:00:00
ORD061,CUST124,Stuffed Grape Leaves,12.99,3,cold,2024-11-04 12:15:30
ORD062,CUST126,Chicken Couscous,24.99,2,hot,2024-11-04 12:45:00
ORD063,CUST128,Pareve Kugel,15.99,2,hot,2024-11-04 13:00:15
ORD064,CUST130,Watermelon Feta Salad,13.99,1,cold,2024-11-04 13:30:45
ORD065,CUST132,Grilled Veal Chop,39.99,1,hot,2024-11-04 14:00:00
ORD066,CUST134,Roasted Beet Hummus,11.99,2,cold,2024-11-04 14:15:30
ORD067,CUST008,Beef Cheek Stew,31.99,2,hot,2024-11-04 14:45:00
ORD068,CUST136,Chickpea Salad,10.99,2,cold,2024-11-04 15:00:15
ORD069,CUST138,Moroccan Chicken,26.99,3,hot,2024-11-04 15:30:45
ORD070,CUST140,Pareve Rugelach,8.99,4,cold,2024-11-04 16:00:00
ORD071,CUST142,Lamb Shoulder,36.99,2,hot,2024-11-04 16:15:30
ORD072,CUST144,Wild Rice Salad,12.99,1,cold,2024-11-04 16:45:00
ORD073,CUST146,Beef Tongue,28.99,1,hot,2024-11-04 17:00:15
ORD074,CUST148,Roasted Red Pepper Dip,9.99,2,cold,2024-11-04 17:30:45
ORD075,CUST150,Duck Confit,37.99,1,hot,2024-11-04 18:00:00
ORD076,CUST002,Herb Quinoa Salad,11.99,2,cold,2024-11-04 18:15:30
ORD077,CUST005,Chicken Shawarma,23.99,3,hot,2024-11-04 18:45:00
ORD078,CUST003,Sundried Tomato Spread,8.99,2,cold,2024-11-04 19:00:15
ORD079,CUST009,Beef Kabob Plate,29.99,2,hot,2024-11-05 12:00:00
ORD080,CUST011,Persian Rice Salad,13.99,1,cold,2024-11-05 12:15:30
ORD081,CUST015,Grilled Turkey Breast,25.99,2,hot,2024-11-05 12:45:00
ORD082,CUST017,Mediterranean Slaw,9.99,2,cold,2024-11-05 13:00:15
ORD083,CUST019,Lamb Shank,35.99,1,hot,2024-11-05 13:30:45
ORD084,CUST021,Pareve Chocolate Cake,11.99,2,cold,2024-11-05 14:00:00
ORD085,CUST023,Roasted Chicken Quarter,19.99,3,hot,2024-11-05 14:15:30
ORD086,CUST025,Apple Walnut Salad,12.99,1,cold,2024-11-05 14:45:00
ORD087,CUST027,Beef Tenderloin,44.99,1,hot,2024-11-05 15:00:15
ORD088,CUST029,Pareve Coleslaw,8.99,2,cold,2024-11-05 15:30:45
ORD089,CUST011,Veal Osso Buco,41.99,1,hot,2024-11-05 16:00:00
ORD090,CUST031,Lentil Tabbouleh,10.99,2,cold,2024-11-05 16:15:30
ORD091,CUST005,Grilled Chicken Breast,22.99,3,hot,2024-11-05 16:45:00
ORD092,CUST033,Marinated Mushrooms,11.99,2,cold,2024-11-05 17:00:15
ORD093,CUST035,Beef Curry,27.99,2,hot,2024-11-05 17:30:45
ORD094,CUST037,Green Bean Salad,9.99,2,cold,2024-11-05 18:00:00
ORD095,CUST039,Roasted Duck,38.99,1,hot,2024-11-05 18:15:30
ORD096,CUST041,Pareve Potato Salad,10.99,2,cold,2024-11-05 18:45:00
ORD097,CUST043,Lamb Moussaka,32.99,2,hot,2024-11-05 19:00:15
ORD098,CUST045,Spiced Carrot Salad,9.99,2,cold,2024-11-05 19:30:45
ORD099,CUST047,Chicken Kebab Plate,24.99,2,hot,2024-11-05 19:45:00
ORD100,CUST049,Stuffed Dates,7.99,3,cold,2024-11-05 20:00:00
ORD101,CUST051,Prime Beef Steak,46.99,1,hot,2024-11-06 12:00:00
ORD102,CUST053,Asian Cucumber Salad,10.99,2,cold,2024-11-06 12:15:30
ORD103,CUST055,Herb Roasted Turkey,28.99,2,hot,2024-11-06 12:30:00
ORD104,CUST057,Pareve Caesar Salad,12.99,1,cold,2024-11-06 12:45:00
ORD105,CUST059,Beef Flanken,33
